image_filename,dataset_source,image_width,image_height,aspect_ratio,image_path,image_file_key
insta1010.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1010.jpg,img/insta1010
insta10100.jpg,instagram_data,650,402,1.6169,datasets/raw/instagram_data/img/insta10100.jpg,img/insta10100
insta10101.jpg,instagram_data,750,433,1.7321,datasets/raw/instagram_data/img/insta10101.jpg,img/insta10101
insta10102.jpg,instagram_data,737,737,1.0,datasets/raw/instagram_data/img/insta10102.jpg,img/insta10102
insta10103.jpg,instagram_data,737,737,1.0,datasets/raw/instagram_data/img/insta10103.jpg,img/insta10103
insta10104.jpg,instagram_data,750,750,1.0,datasets/raw/instagram_data/img/insta10104.jpg,img/insta10104
insta10105.jpg,instagram_data,933,1161,0.8036,datasets/raw/instagram_data/img/insta10105.jpg,img/insta10105
insta10106.jpg,instagram_data,1080,1326,0.8145,datasets/raw/instagram_data/img/insta10106.jpg,img/insta10106
insta10107.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10107.jpg,img/insta10107
insta10108.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10108.jpg,img/insta10108
insta10109.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10109.jpg,img/insta10109
insta1011.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1011.jpg,img/insta1011
insta10110.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10110.jpg,img/insta10110
insta10111.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10111.jpg,img/insta10111
insta10112.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10112.jpg,img/insta10112
insta10113.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10113.jpg,img/insta10113
insta10114.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10114.jpg,img/insta10114
insta10115.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10115.jpg,img/insta10115
