record_index,pc1,pc2,dataset_source
7034,-11.259064,1.5519633,instagram_data
33623,-7.1277666,-0.58991474,instagram_data2
26801,1.027345,1.4257233,instagram_data2
34792,-1.9559562,-0.5562318,instagram_data2
16961,-4.6981273,5.686589,instagram_data
20853,9.065928,3.0010102,instagram_data2
3782,0.4803203,-6.69805,instagram_data
34328,-5.773381,-9.595863,instagram_data2
8941,-1.1724857,-0.35561556,instagram_data
5096,-1.4064522,-1.7973516,instagram_data
17989,-9.050005,1.9927627,instagram_data
6288,6.048016,16.124714,instagram_data
27366,-11.963977,-2.8382227,instagram_data2
16534,-7.1020236,0.99745387,instagram_data
9063,11.714682,18.16374,instagram_data
20669,8.839489,12.803715,instagram_data2
34174,-3.1316924,8.240476,instagram_data2
1107,14.518285,6.939013,instagram_data
20472,-4.2616377,-9.293265,instagram_data
23295,-1.4366008,2.1552238,instagram_data2
2283,2.126214,1.3223277,instagram_data
4185,-4.6751194,-1.5992672,instagram_data
8329,-10.585879,0.31586897,instagram_data
32390,-2.7653148,-12.08939,instagram_data2
7811,0.7578313,13.641939,instagram_data
14,-5.958448,0.60242385,instagram_data
31219,-10.4714985,-5.286129,instagram_data2
10670,-12.641398,-2.8290403,instagram_data
23630,-5.6486425,5.0576525,instagram_data2
1462,14.077806,-9.617824,instagram_data
17841,-6.7626166,-5.4078026,instagram_data
23330,1.3469852,6.3136325,instagram_data2
10672,0.7849488,-9.015817,instagram_data
1510,26.09301,-2.5001898,instagram_data
7398,-10.277689,0.23540975,instagram_data
26675,-2.8668056,-1.0019606,instagram_data2
14719,-6.0408792,-0.6994243,instagram_data
3859,-12.053117,-3.127329,instagram_data
2691,-13.733775,-0.2973089,instagram_data
12611,-6.1081395,4.375281,instagram_data
4218,15.391514,-16.487942,instagram_data
13071,-12.366371,-1.4966149,instagram_data
8823,-8.616143,-3.0654755,instagram_data
25836,-0.6682502,-10.370528,instagram_data2
6188,-13.736813,-1.1777219,instagram_data
29815,-3.372238,0.93376565,instagram_data2
23740,10.512372,-11.916813,instagram_data2
2396,11.533453,13.307145,instagram_data
13405,10.720856,1.7786975,instagram_data
2667,-7.0630584,1.486276,instagram_data
11919,-7.292499,-7.1832056,instagram_data
3992,-10.77252,1.8407042,instagram_data
18976,-9.431007,-6.153339,instagram_data
9089,-4.905663,6.581296,instagram_data
33001,-9.819543,1.5420655,instagram_data2
17610,12.286294,10.183546,instagram_data
10374,-4.0090795,-2.8629336,instagram_data
6409,9.136859,-2.6422675,instagram_data
18955,9.12975,5.54667,instagram_data
32779,-1.6850146,11.412968,instagram_data2
342,1.2900493,-2.7565339,instagram_data
9548,1.8942059,-1.3667996,instagram_data
33721,-1.9208905,-9.705485,instagram_data2
9835,-6.355635,-9.807914,instagram_data
12184,-4.8781476,7.418872,instagram_data
21064,7.0573845,-9.09213,instagram_data2
24823,-1.4812179,-3.5535786,instagram_data2
13957,1.0286908,-3.004482,instagram_data
25383,-0.7471924,-4.6485095,instagram_data2
26078,-9.519092,-2.0230322,instagram_data2
29425,18.217302,-8.630419,instagram_data2
16138,-2.2705812,-1.2971278,instagram_data
25137,-0.5506457,9.210115,instagram_data2
4659,-7.3324227,-3.3071802,instagram_data
22943,-13.767863,-0.15645269,instagram_data2
5354,27.147608,11.580284,instagram_data
33317,-9.498218,-1.1960361,instagram_data2
31161,-9.011443,2.5657265,instagram_data2
11735,-6.7435827,-2.4146676,instagram_data
25668,2.4748418,-2.3287544,instagram_data2
12885,-7.4463997,4.9316144,instagram_data
21475,-9.301546,-5.607086,instagram_data2
1874,-3.2954767,-2.3561087,instagram_data
11894,-15.767539,-1.6320671,instagram_data
10504,11.524243,6.3125367,instagram_data
4302,2.7466025,1.1404419,instagram_data
27988,-9.581579,4.835507,instagram_data2
